"","x","y","numb"
"1",-96.375,-71.6875,1
"2",-96.125,-71.6875,1
"3",-95.875,-71.6875,2
"4",-95.625,-71.8125,1
"5",-95.125,-71.9375,1
"6",-94.875,-71.9375,1
"7",-94.625,-72.0625,1
"8",-94.375,-72.0625,2
"9",-94.375,-71.8125,1
"10",-94.125,-72.1875,2
"11",-94.125,-72.0625,1
"12",-94.125,-71.8125,2
"13",-93.875,-72.1875,3
"14",-93.875,-72.0625,4
"15",-93.875,-71.9375,3
"16",-93.875,-71.8125,5
"17",-93.625,-72.1875,1
"18",-93.625,-72.0625,3
"19",-93.625,-71.9375,2
"20",-93.625,-71.8125,1
"21",-93.625,-71.6875,1
"22",-93.375,-72.1875,3
"23",-93.375,-72.0625,1
"24",-93.375,-71.9375,2
"25",-93.375,-71.8125,4
"26",-93.375,-71.6875,1
"27",-93.125,-72.3125,1
"28",-93.125,-72.1875,6
"29",-93.125,-72.0625,2
"30",-93.125,-71.9375,7
"31",-93.125,-71.8125,5
"32",-92.875,-72.3125,1
"33",-92.875,-72.1875,32
"34",-92.875,-72.0625,2
"35",-92.875,-71.9375,4
"36",-92.875,-71.8125,6
"37",-92.875,-71.6875,1
"38",-92.625,-72.1875,12
"39",-92.625,-72.0625,8
"40",-92.625,-71.9375,14
"41",-92.625,-71.8125,6
"42",-92.625,-71.5625,3
"43",-92.625,-71.4375,1
"44",-92.375,-72.1875,6
"45",-92.375,-72.0625,16
"46",-92.375,-71.9375,8
"47",-92.375,-71.8125,3
"48",-92.375,-71.6875,1
"49",-92.375,-71.5625,3
"50",-92.375,-71.4375,3
"51",-92.125,-72.3125,8
"52",-92.125,-72.1875,11
"53",-92.125,-72.0625,17
"54",-92.125,-71.9375,8
"55",-92.125,-71.8125,9
"56",-92.125,-71.6875,5
"57",-92.125,-71.5625,7
"58",-91.875,-72.3125,6
"59",-91.875,-72.1875,7
"60",-91.875,-72.0625,13
"61",-91.875,-71.9375,12
"62",-91.875,-71.8125,7
"63",-91.875,-71.6875,4
"64",-91.875,-71.4375,1
"65",-91.625,-72.3125,5
"66",-91.625,-72.1875,9
"67",-91.625,-72.0625,20
"68",-91.625,-71.9375,10
"69",-91.625,-71.8125,10
"70",-91.625,-71.6875,2
"71",-91.375,-72.3125,1
"72",-91.375,-72.1875,12
"73",-91.375,-72.0625,15
"74",-91.375,-71.9375,10
"75",-91.375,-71.8125,7
"76",-91.375,-71.6875,1
"77",-91.125,-72.3125,1
"78",-91.125,-72.1875,16
"79",-91.125,-72.0625,17
"80",-91.125,-71.9375,10
"81",-91.125,-71.8125,10
"82",-91.125,-71.6875,3
"83",-91.125,-71.5625,4
"84",-91.125,-71.4375,1
"85",-90.875,-72.3125,6
"86",-90.875,-72.1875,10
"87",-90.875,-72.0625,15
"88",-90.875,-71.9375,20
"89",-90.875,-71.8125,10
"90",-90.875,-71.6875,3
"91",-90.875,-71.5625,3
"92",-90.625,-72.3125,6
"93",-90.625,-72.1875,16
"94",-90.625,-72.0625,22
"95",-90.625,-71.9375,28
"96",-90.625,-71.8125,13
